mergednewScores
,name,pred_points,Unnamed: 0,first_name,second_name,Name,element_type,Team,now_cost
260,Will Norris,0.16410815715789800,164,Will,Norris,Will Norris,GK,Burnley,4.4
261,Yerry Mina,1.611438512802120,252,Yerry,Mina,Yerry Mina,DEF,Everton,4.9
262,Yves Bissouma,1.4775573015213000,127,Yves,Bissouma,Yves Bissouma,MID,Brighton,4.4
263,Kieran Dowell,5.410367965698240,488,Kieran,Dowell,Kieran Dowell,MID,Norwich,5.1
264,Sean Longstaff,0.0,466,Sean,Longstaff,Sean Longstaff,MID,Newcastle,4.5
265,Oliver Skipp,0.9499952793121340,563,Oliver,Skipp,Oliver Skipp,MID,Spurs,4.4
266,Ben Wilmot,0.0,600,Ben,Wilmot,Ben Wilmot,DEF,Watford,4.5
267,Conor Coventry,0.0,644,Conor,Coventry,Conor Coventry,MID,West Ham,4.5
268,Yan Valery,2.8250887393951400,536,Yan,Valery,Yan Valery,DEF,Southampton,3.9
269,Ben White,0.9248073697090150,26,Ben,White,Ben White,DEF,Arsenal,4.5
270,Bukayo Saka,1.2029350996017500,20,Bukayo,Saka,Bukayo Saka,MID,Arsenal,6.4
271,Max Kilman,0.9524500966072080,666,Max,Kilman,Max Kilman,DEF,Wolves,4.5
272,Dan Burn,0.0,116,Dan,Burn,Dan Burn,DEF,Brighton,4.4
273,Josh Benson,0.1677110642194750,166,Josh,Benson,Josh Benson,MID,Burnley,4.5
274,Youri Tielemans,0.0,290,Youri,Tielemans,Youri Tielemans,MID,Leicester,6.4
275,Mason Greenwood,2.2922379970550500,435,Mason,Greenwood,Mason Greenwood,MID,Man Utd,7.2
276,Harvey Elliott,0.0,376,Harvey,Elliott,Harvey Elliott,MID,Liverpool,5.3
277,Adam Webster,4.053394317626950,119,Adam,Webster,Adam Webster,DEF,Brighton,4.4
278,Allan Saint-Maximin,1.8389402627944900,464,Allan,Saint-Maximin,Allan Saint-Maximin,FWD,Newcastle,6.6
279,Anwar El Ghazi,0.0,240,Anwar,El Ghazi,Anwar El Ghazi,MID,Everton,5.6
280,Bailey Peacock-Farrell,0.0,167,Bailey,Peacock-Farrell,Bailey Peacock-Farrell,GK,Burnley,4.5
281,Ben Godfrey,0.3084104657173160,256,Ben,Godfrey,Ben Godfrey,DEF,Everton,4.8
282,Che Adams,0.3284665048122410,523,Che,Adams,Che Adams,FWD,Southampton,6.8
283,Christian Pulisic,7.962251663208010,194,Christian,Pulisic,Christian Pulisic,MID,Chelsea,7.9
284,Christoph Zimmermann,0.0,489,Christoph,Zimmermann,Christoph Zimmermann,DEF,Norwich,4.4
285,Conor Hourihane,0.13438968360424000,38,Conor,Hourihane,Conor Hourihane,MID,Aston Villa,4.9
286,Dean Henderson,4.41630744934082,427,Dean,Henderson,Dean Henderson,GK,Man Utd,4.7
287,Dennis Praet,0.0,286,Dennis,Praet,Dennis Praet,MID,Leicester,4.9
288,Douglas Luiz Soares de Paulo,0.0,57,Douglas Luiz,Soares de Paulo,Douglas Luiz Soares de Paulo,MID,Aston Villa,4.5
289,Emil Krafth,0.2945314347743990,460,Emil,Krafth,Emil Krafth,DEF,Newcastle,4.3
290,Ezri Konsa Ngoyo,1.9022332429885900,52,Ezri,Konsa Ngoyo,Ezri Konsa Ngoyo,DEF,Aston Villa,4.9
291,Gabriel Teodoro Martinelli Silva,1.1387320756912200,24,Gabriel Teodoro,Martinelli Silva,Gabriel Teodoro Martinelli Silva,MID,Arsenal,5.4
292,Giovani Lo Celso,3.282136917114260,562,Giovani,Lo Celso,Giovani Lo Celso,MID,Spurs,5.9
293,Jack Grealish,1.361202359199520,384,Jack,Grealish,Jack Grealish,MID,Man City,7.6
294,Jamal Lewis,0.20767183601856200,468,Jamal,Lewis,Jamal Lewis,DEF,Newcastle,4.2
295,James Justin,0.0,298,James,Justin,James Justin,DEF,Leicester,4.9
296,Jean-Philippe Gbamin,0.0,264,Jean-Philippe,Gbamin,Jean-Philippe Gbamin,MID,Everton,4.4
297,Jed Steer,0.057079799473285700,37,Jed,Steer,Jed Steer,GK,Aston Villa,3.9
298,John McGinn,2.0881595611572300,43,John,McGinn,John McGinn,MID,Aston Villa,5.8
299,Keinan Davis,0.14652353525161700,56,Keinan,Davis,Keinan Davis,FWD,Aston Villa,4.5
300,Kenny McLean,0.0,483,Kenny,McLean,Kenny McLean,MID,Norwich,4.9
301,Kieran Tierney,6.020374774932860,15,Kieran,Tierney,Kieran Tierney,DEF,Arsenal,5.0
302,Leandro Trossard,0.0,122,Leandro,Trossard,Leandro Trossard,MID,Brighton,6.1
303,Mahmoud Ahmed Ibrahim Hassan,2.7927310466766400,45,Mahmoud Ahmed,Ibrahim Hassan,Mahmoud Ahmed Ibrahim Hassan,MID,Aston Villa,5.4
304,Marco Stiepermann,0.0,481,Marco,Stiepermann,Marco Stiepermann,MID,Norwich,5.0
305,Marvelous Nakamba,0.0,49,Marvelous,Nakamba,Marvelous Nakamba,MID,Aston Villa,4.4
306,Mason Mount,6.198390007019040,195,Mason,Mount,Mason Mount,MID,Chelsea,7.7
307,Michael McGovern,0.5376913547515870,478,Michael,McGovern,Michael McGovern,GK,Norwich,3.9
308,Moise Kean,0.6519733667373660,267,Moise,Kean,Moise Kean,FWD,Everton,6.0
309,Moussa Djenepo,0.0,528,Moussa,Djenepo,Moussa Djenepo,MID,Southampton,5.2
310,Neal Maupay,0.4193390905857090,121,Neal,Maupay,Neal Maupay,FWD,Brighton,6.5
311,Pablo Fornals,1.947034239768980,639,Pablo,Fornals,Pablo Fornals,MID,West Ham,6.0
312,Patrick Cutrone,0.025542207062244400,678,Patrick,Cutrone,Patrick Cutrone,FWD,Wolves,5.0
313,Pedro Lomba Neto,3.5316407680511500,668,Pedro,Lomba Neto,Pedro Lomba Neto,MID,Wolves,6.4
314,Reece James,1.1217749118804900,199,Reece,James,Reece James,DEF,Chelsea,6.2
315,Rodrigo Hernandez,1.1600254774093600,402,Rodrigo,Hernandez,Rodrigo Hernandez,MID,Man City,5.5
316,Tanguy Ndombele,1.1058837175369300,565,Tanguy,Ndombele,Tanguy Ndombele,MID,Spurs,5.7
317,Teemu Pukki,3.182441473007200,480,Teemu,Pukki,Teemu Pukki,FWD,Norwich,5.8
318,Todd Cantwell,0.5668743252754210,490,Todd,Cantwell,Todd Cantwell,MID,Norwich,5.3
319,Wesley Moraes,0.0,54,Wesley,Moraes,Wesley Moraes,FWD,Aston Villa,5.4
320,Andy Lonergan,0.0,269,Andy,Lonergan,Andy Lonergan,GK,Everton,4.0
321,Caoimhin Kelleher,0.05272628366947170,369,Caoimhin,Kelleher,Caoimhin Kelleher,GK,Liverpool,4.3
322,Aaron Connolly,0.6834605932235720,129,Aaron,Connolly,Aaron Connolly,FWD,Brighton,5.3
323,Billy Gilmour,0.9794188737869260,476,Billy,Gilmour,Billy Gilmour,MID,Norwich,4.3
324,Daniel N'Lundulu,0.006678381934762000,522,Daniel,N'Lundulu,Daniel N'Lundulu,FWD,Southampton,4.5
325,Adam Idah,0.0,494,Adam,Idah,Adam Idah,FWD,Norwich,4.9
326,Matthew Longstaff,0.057411909103393600,469,Matthew,Longstaff,Matthew Longstaff,MID,Newcastle,4.5
327,Steven Alzate,0.40831229090690600,130,Steven,Alzate,Steven Alzate,MID,Brighton,4.8
328,Brandon Williams,0.5774683356285100,477,Brandon,Williams,Brandon Williams,DEF,Norwich,3.9
329,Anthony Gordon,0.5409998893737790,263,Anthony,Gordon,Anthony Gordon,MID,Everton,4.5
330,Scott Carson,0.04027148336172100,408,Scott,Carson,Scott Carson,GK,Man City,3.9
331,Ayotomiwa Dele-Bashiru,0.0,593,Ayotomiwa,Dele-Bashiru,Ayotomiwa Dele-Bashiru,MID,Watford,4.5
332,Luke Cundle,1.7818660736084000,679,Luke,Cundle,Luke Cundle,MID,Wolves,4.5
333,Owen Otasowie,0.16733083128929100,669,Owen,Otasowie,Owen Otasowie,MID,Wolves,4.5
334,Tyrick Mitchell,0.1095266118645670,227,Tyrick,Mitchell,Tyrick Mitchell,DEF,Crystal Palace,4.5
335,Neco Williams,2.6378214359283400,373,Neco,Williams,Neco Williams,DEF,Liverpool,3.8
336,Emile Smith Rowe,0.0,19,Emile,Smith Rowe,Emile Smith Rowe,MID,Arsenal,5.9
337,Japhet Tanganga,1.2006880044937100,561,Japhet,Tanganga,Japhet Tanganga,DEF,Spurs,4.2
338,Tariq Lamptey,0.502781093120575,128,Tariq,Lamptey,Tariq Lamptey,DEF,Brighton,4.5
339,William Smallbone,0.47410860657692000,525,William,Smallbone,William Smallbone,MID,Southampton,4.5
340,Nathaniel Phillips,0.550035297870636,368,Nathaniel,Phillips,Nathaniel Phillips,DEF,Liverpool,4.2
341,Jeremy Ngakia,2.573392152786260,599,Jeremy,Ngakia,Jeremy Ngakia,DEF,Watford,4.3
342,Takumi Minamino,0.0,363,Takumi,Minamino,Takumi Minamino,MID,Liverpool,5.1
343,Lukas Rupp,0.18826264142990100,482,Lukas,Rupp,Lukas Rupp,MID,Norwich,4.4
344,Bruno Miguel Borges Fernandes,12.00730037689210,424,Bruno Miguel,Borges Fernandes,Bruno Miguel Borges Fernandes,MID,Man Utd,11.7
345,Daniel Castelo Podence,2.5223639011383100,665,Daniel,Castelo Podence,Daniel Castelo Podence,MID,Wolves,5.5
346,Josh Brownhill,2.5482113361358600,165,Josh,Brownhill,Josh Brownhill,MID,Burnley,4.3
347,Steven Bergwijn,0.5844157934188840,559,Steven,Bergwijn,Steven Bergwijn,MID,Spurs,5.9
348,Tomas Soucek,2.6727967262268100,638,Tomas,Soucek,Tomas Soucek,MID,West Ham,5.7
349,Alexis Mac Allister,9.091980934143070,131,Alexis,Mac Allister,Alexis Mac Allister,MID,Brighton,5.3
350,Ki-Jana Hoever,0.0,670,Ki-Jana,Hoever,Ki-Jana Hoever,DEF,Wolves,3.9
351,Armando Broja,1.6451952457428000,533,Armando,Broja,Armando Broja,FWD,Southampton,5.2
352,Bobby Thomas,0.0,172,Bobby,Thomas,Bobby Thomas,DEF,Burnley,3.9
353,Jarrad Branthwaite,0.8094353079795840,265,Jarrad,Branthwaite,Jarrad Branthwaite,DEF,Everton,4.0
354,Josh Martin,0.016637708991766000,495,Josh,Martin,Josh Martin,MID,Norwich,5.0
355,Nathan Tella,0.02930080145597460,524,Nathan,Tella,Nathan Tella,MID,Southampton,4.7
356,Cole Palmer,0.2232614904642110,405,Cole,Palmer,Cole Palmer,MID,Man City,4.5
357,Tommy Doyle,0.008008268661797050,407,Tommy,Doyle,Tommy Doyle,MID,Man City,4.5
358,Lewis Bate,0.01665608584880830,344,Lewis,Bate,Lewis Bate,MID,Leeds,4.5
359,Kaine Hayden,0.0,73,Kaine,Hayden,Kaine Hayden,DEF,Aston Villa,4.0
360,Luke Thomas,0.2659169137477880,299,Luke,Thomas,Luke Thomas,DEF,Leicester,4.3
361,Ellis Simms,0.10170479118824000,271,Ellis,Simms,Ellis Simms,FWD,Everton,4.5
362,Allan Marques Loureiro,1.2450679540634200,248,Allan,Marques Loureiro,Allan Marques Loureiro,MID,Everton,4.4
363,Alphonse Areola,0.662653923034668,642,Alphonse,Areola,Alphonse Areola,GK,West Ham,4.7
364,Eberechi Eze,6.668689727783200,225,Eberechi,Eze,Eberechi Eze,MID,Crystal Palace,5.9
365,Fabio Silva,0.0,672,Fabio,Silva,Fabio Silva,FWD,Wolves,5.6
366,Hakim Ziyech,0.6359730362892150,188,Hakim,Ziyech,Hakim Ziyech,MID,Chelsea,7.3
367,Ian Carlo Poveda-Ocampo,0.0861646756529808,325,Ian Carlo,Poveda-Ocampo,Ian Carlo Poveda-Ocampo,MID,Leeds,4.5
368,Illan Meslier,3.62103009223938,329,Illan,Meslier,Illan Meslier,GK,Leeds,4.8
369,Jack Harrison,0.0,330,Jack,Harrison,Jack Harrison,MID,Leeds,5.5
370,Jamie Shackleton,0.35267528891563400,327,Jamie,Shackleton,Jamie Shackleton,MID,Leeds,4.4
371,Kai Havertz,1.134553074836730,198,Kai,Havertz,Kai Havertz,MID,Chelsea,7.8
372,Kalvin Phillips,3.052708864212040,321,Kalvin,Phillips,Kalvin Phillips,MID,Leeds,4.7
373,Konstantinos Tsimikas,1.330417513847350,372,Konstantinos,Tsimikas,Konstantinos Tsimikas,DEF,Liverpool,3.7
374,Liam Cooper,2.285295248031620,314,Liam,Cooper,Liam Cooper,DEF,Leeds,4.4
375,Luke Ayling,0.0,315,Luke,Ayling,Luke Ayling,DEF,Leeds,4.3
376,Mark Gillespie,0.0,472,Mark,Gillespie,Mark Gillespie,GK,Newcastle,4.0
377,Mateusz Klich,0.5034641027450560,316,Mateusz,Klich,Mateusz Klich,MID,Leeds,5.2
378,Mohamed Naser El Sayed Elneny,0.5570526123046880,11,Mohamed Naser,El Sayed Elneny,Mohamed Naser El Sayed Elneny,MID,Arsenal,4.4
379,Mohammed Salisu,0.0,529,Mohammed,Salisu,Mohammed Salisu,DEF,Southampton,4.5
380,Pascal Struijk,0.0,328,Pascal,Struijk,Pascal Struijk,DEF,Leeds,4.3
381,Robin Koch,0.0,324,Robin,Koch,Robin Koch,DEF,Leeds,4.3
382,Rodrigo Moreno,0.0,317,Rodrigo,Moreno,Rodrigo Moreno,FWD,Leeds,6.2
383,Stuart Dallas,1.480933427810670,318,Stuart,Dallas,Stuart Dallas,MID,Leeds,5.0
384,Timothy Castagne,1.1206586360931400,289,Timothy,Castagne,Timothy Castagne,DEF,Leicester,5.3
385,Timo Werner,0.0,191,Timo,Werner,Timo Werner,FWD,Chelsea,8.6
386,Tyler Roberts,0.8933126330375670,323,Tyler,Roberts,Tyler Roberts,MID,Leeds,4.8
387,William Saliba,0.0,25,William,Saliba,William Saliba,DEF,Arsenal,4.5
388,Donny van de Beek,0.0,429,Donny,van de Beek,Donny van de Beek,MID,Man Utd,5.7
389,Ferran Torres,0.9421461820602420,403,Ferran,Torres,Ferran Torres,MID,Man City,6.7
390,Matthew Cash,6.986486434936520,51,Matthew,Cash,Matthew Cash,DEF,Aston Villa,5.1
391,Ollie Watkins,3.2793703079223600,48,Ollie,Watkins,Ollie Watkins,FWD,Aston Villa,7.7
392,Zack Steffen,0.008219229057431220,396,Zack,Steffen,Zack Steffen,GK,Man City,4.4
393,Conor Gallagher,0.5126861929893490,210,Conor,Gallagher,Conor Gallagher,MID,Crystal Palace,6.1
394,Diego Llorente,7.176677703857420,320,Diego,Llorente,Diego Llorente,DEF,Leeds,4.5
395,Edouard Mendy,2.074486017227170,200,Edouard,Mendy,Edouard Mendy,GK,Chelsea,6.1
396,Jacob Ramsey,1.3924195766449000,58,Jacob,Ramsey,Jacob Ramsey,MID,Aston Villa,4.6
397,Niels Nkounkou,0.09596522897481920,268,Niels,Nkounkou,Niels Nkounkou,DEF,Everton,4.0
398,Vladimir Coufal,0.0,634,Vladimir,Coufal,Vladimir Coufal,DEF,West Ham,4.7
399,Wesley Fofana,5.759575843811040,300,Wesley,Fofana,Wesley Fofana,DEF,Leicester,4.3
400,Alex Nicolao Telles,2.324631690979000,426,Alex Nicolao,Telles,Alex Nicolao Telles,DEF,Man Utd,5.0
401,Andi Zeqiri,0.08255021274089810,137,Andi,Zeqiri,Andi Zeqiri,FWD,Brighton,4.5
402,Edinson Cavani,1.8324387073516800,416,Edinson,Cavani,Edinson Cavani,FWD,Man Utd,8.4
403,Ibrahima Diallo,0.0,527,Ibrahima,Diallo,Ibrahima Diallo,MID,Southampton,4.5
404,Joachim Andersen,11.457754135131800,232,Joachim,Andersen,Joachim Andersen,DEF,Crystal Palace,4.5
405,Raphael Dias Belloli,2.1204235553741500,326,Raphael,Dias Belloli,Raphael Dias Belloli,MID,Leeds,6.5
406,Rayan Ait Nouri,6.709217071533200,676,Rayan,Ait Nouri,Rayan Ait Nouri,DEF,Wolves,4.3
407,Robin Olsen,1.2240867614746100,74,Robin,Olsen,Robin Olsen,GK,Aston Villa,4.0
408,Thomas Partey,1.326601505279540,14,Thomas,Partey,Thomas Partey,MID,Arsenal,5.0
409,Rhys Williams,0.9877132773399350,374,Rhys,Williams,Rhys Williams,DEF,Liverpool,4.4
410,Lewis Richardson,0.24869488179683700,171,Lewis,Richardson,Lewis Richardson,FWD,Burnley,4.4
411,Jack Jenkins,0.0,345,Jack,Jenkins,Jack Jenkins,MID,Leeds,4.5
412,Elliot Anderson,0.005094856023788450,474,Elliot,Anderson,Elliot Anderson,MID,Newcastle,4.5
413,Christian Marques,0.0,681,Christian,Marques,Christian Marques,DEF,Wolves,4.0
414,Kgaogelo Chauke,0.0,542,Kgaogelo,Chauke,Kgaogelo Chauke,MID,Southampton,4.5
415,Luke Mbete,0.0,409,Luke,Mbete,Luke Mbete,DEF,Man City,3.9
416,Charlie Cresswell,9.54956476562074E-07,338,Charlie,Cresswell,Charlie Cresswell,DEF,Leeds,4.0
417,Jakub Moder,2.427640199661260,132,Jakub,Moder,Jakub Moder,MID,Brighton,4.5
418,Frederik Alves,0.0,643,Frederik,Alves,Frederik Alves,DEF,West Ham,4.0
419,Tyler Onyango,0.0,277,Tyler,Onyango,Tyler Onyango,MID,Everton,4.5
420,Jean-Philippe Mateta,2.6222212314605700,224,Jean-Philippe,Mateta,Jean-Philippe Mateta,FWD,Crystal Palace,5.2
421,Amad Diallo,0.0,445,Amad,Diallo,Amad Diallo,MID,Man Utd,5.0
422,Morgan Sanson,1.3551015853881800,42,Morgan,Sanson,Morgan Sanson,MID,Aston Villa,5.0
423,Hugo Bueno,0.0,685,Hugo,Bueno,Hugo Bueno,DEF,Wolves,4.0
424,Ozan Kabak,0.0,505,Ozan,Kabak,Ozan Kabak,DEF,Norwich,4.4
425,Michal Karbownik,0.0,138,Michal,Karbownik,Michal Karbownik,DEF,Brighton,4.0
426,Vontae Daley-Campbell,0.0,308,Vontae,Daley-Campbell,Vontae Daley-Campbell,DEF,Leicester,4.0
427,Thomas McGill,0.0,148,Thomas,McGill,Thomas McGill,GK,Brighton,4.0
428,Dane Scarlett,0.0,569,Dane,Scarlett,Dane Scarlett,FWD,Spurs,4.5
429,Joe Gelhardt,1.2958041429519700,340,Joe,Gelhardt,Joe Gelhardt,FWD,Leeds,4.6
430,Jamal Baptiste,0.0,645,Jamal,Baptiste,Jamal Baptiste,DEF,West Ham,4.0
431,Carney Chukwuemeka,0.13960467278957400,65,Carney,Chukwuemeka,Carney Chukwuemeka,MID,Aston Villa,4.5
432,Nathan Broadhead,0.0024980073794722600,266,Nathan,Broadhead,Nathan Broadhead,FWD,Everton,4.5
433,Reece Hannam,0.0,234,Reece,Hannam,Reece Hannam,DEF,Crystal Palace,3.9
434,Harry Tyrer,0.0,274,Harry,Tyrer,Harry Tyrer,GK,Everton,4.0
435,Jaden Philogene-Bidace,0.0,64,Jaden,Philogene-Bidace,Jaden Philogene-Bidace,MID,Aston Villa,5.0
436,Jesurun Rak-Sakyi,0.0,235,Jesurun,Rak-Sakyi,Jesurun Rak-Sakyi,MID,Crystal Palace,4.4
437,Reece Welch,0.0,276,Reece,Welch,Reece Welch,DEF,Everton,4.0
438,Crysencio Summerville,0.023431390523910500,335,Crysencio,Summerville,Crysencio Summerville,MID,Leeds,4.5
439,Sam Greenwood,0.0,334,Sam,Greenwood,Sam Greenwood,FWD,Leeds,4.5
440,Cody Drameh,0.0,337,Cody,Drameh,Cody Drameh,DEF,Leeds,3.9
441,Anthony Elanga,0.5221990346908570,441,Anthony,Elanga,Anthony Elanga,MID,Man Utd,4.8
442,Tim Iroegbunam,0.5026006698608400,69,Tim,Iroegbunam,Tim Iroegbunam,MID,Aston Villa,4.5
443,Kwadwo Baah,0.0,604,Kwadwo,Baah,Kwadwo Baah,MID,Watford,4.3
444,Stipe Perica,0.0,587,Stipe,Perica,Stipe Perica,FWD,Watford,4.5
445,Robert Street,0.0,236,Robert,Street,Robert Street,FWD,Crystal Palace,4.5
446,Juraj Kucka,3.524186134338380,611,Juraj,Kucka,Juraj Kucka,MID,Watford,5.5
447,Tariqe Fosu-Henry,0.5801935791969300,78,Tariqe,Fosu-Henry,Tariqe Fosu-Henry,MID,Brentford,5.1
448,Karl Hein,0.0,31,Karl,Hein,Karl Hein,GK,Arsenal,4.0
449,Emmanuel Dennis,0.0,605,Emmanuel,Dennis,Emmanuel Dennis,FWD,Watford,6.1
450,Bali Mumba,0.0,502,Bali,Mumba,Bali Mumba,DEF,Norwich,3.9
451,Enock Mwepu,4.349115371704100,134,Enock,Mwepu,Enock Mwepu,MID,Brighton,5.9
452,Pontus Jansson,1.0571035146713300,75,Pontus,Jansson,Pontus Jansson,DEF,Brentford,4.6
453,Nuno Varela Tavares,0.0,27,Nuno,Varela Tavares,Nuno Varela Tavares,DEF,Arsenal,4.3
454,Yoane Wissa,10.198546409606900,101,Yoane,Wissa,Yoane Wissa,MID,Brentford,5.9
455,Dimitris Giannoulis,1.127901554107670,500,Dimitris,Giannoulis,Dimitris Giannoulis,DEF,Norwich,4.4
456,Albert Sambi Lokonga,0.0,28,Albert,Sambi Lokonga,Albert Sambi Lokonga,MID,Arsenal,4.8
457,Marcus Forss,0.0,87,Marcus,Forss,Marcus Forss,FWD,Brentford,5.3
458,Folarin Balogun,0.0,29,Folarin,Balogun,Folarin Balogun,FWD,Arsenal,4.7
459,Dominic Thompson,0.04504837840795520,99,Dominic,Thompson,Dominic Thompson,DEF,Brentford,4.4
460,Joseph Hungbo,0.0,601,Joseph,Hungbo,Joseph Hungbo,MID,Watford,4.5
461,Rico Henry,2.712189197540280,82,Rico,Henry,Rico Henry,DEF,Brentford,4.5
462,Cristian Romero,1.03560209274292,568,Cristian,Romero,Cristian Romero,DEF,Spurs,4.8
463,Max Aarons,0.0,491,Max,Aarons,Max Aarons,DEF,Norwich,4.3
464,Philip Zinckernagel,0.0,591,Philip,Zinckernagel,Philip Zinckernagel,MID,Watford,5.5
465,Malang Sarr,1.5082573890686000,201,Malang,Sarr,Malang Sarr,DEF,Chelsea,4.9
466,Przemyslaw Placheta,0.0,493,Przemyslaw,Placheta,Przemyslaw Placheta,MID,Norwich,4.7
467,Patson Daka,0.0,302,Patson,Daka,Patson Daka,FWD,Leicester,7.1
468,Ismaila Sarr,0.0,598,Ismaila,Sarr,Ismaila Sarr,MID,Watford,5.8
469,Nathan Collins,0.0,169,Nathan,Collins,Nathan Collins,DEF,Burnley,4.3
470,Shandon Baptiste,1.1349902153015100,100,Shandon,Baptiste,Shandon Baptiste,MID,Brentford,4.9
471,Taylor Richards,0.07822376489639280,139,Taylor,Richards,Taylor Richards,MID,Brighton,4.5
472,Ethan Pinnock,4.544538497924810,90,Ethan,Pinnock,Ethan Pinnock,DEF,Brentford,4.5
473,Vitaly Janelt,0.0,83,Vitaly,Janelt,Vitaly Janelt,MID,Brentford,5.0
474,Bryan Mbeumo,0.0,95,Bryan,Mbeumo,Bryan Mbeumo,MID,Brentford,5.3
475,Charlie Goode,0.2803812026977540,86,Charlie,Goode,Charlie Goode,DEF,Brentford,3.9
476,Pelenda Joshua Dasilva,0.0,81,Pelenda Joshua,Dasilva,Pelenda Joshua Dasilva,MID,Brentford,5.3
477,Adam Armstrong,0.918121874332428,535,Adam,Armstrong,Adam Armstrong,FWD,Southampton,5.8
478,Joshua Sargent,1.5419787168502800,503,Joshua,Sargent,Joshua Sargent,FWD,Norwich,5.4
479,Milot Rashica,0.7231860756874080,498,Milot,Rashica,Milot Rashica,MID,Norwich,5.2
480,Kiernan Dewsbury-Hall,0.0,305,Kiernan,Dewsbury-Hall,Kiernan Dewsbury-Hall,MID,Leicester,4.4
481,Frank Onyeka,0.0,97,Frank,Onyeka,Frank Onyeka,MID,Brentford,4.9
482,Ellery Balcombe,0.0,91,Ellery,Balcombe,Ellery Balcombe,GK,Brentford,4.0
483,Tino Livramento,1.1390324831008900,531,Tino,Livramento,Tino Livramento,DEF,Southampton,4.3
484,Mads Bidstrup,0.0,96,Mads,Bidstrup,Mads Bidstrup,MID,Brentford,4.4
485,Scott Banks,0.0,237,Scott,Banks,Scott Banks,MID,Crystal Palace,4.5
486,Oghenekaro Peter Etebo,0.0,607,Oghenekaro Peter,Etebo,Oghenekaro Peter Etebo,MID,Watford,4.3
487,Adedapo Awokoya-Mebude,0.0,609,Adedapo,Awokoya-Mebude,Adedapo Awokoya-Mebude,FWD,Watford,4.5
488,Matthew Pollock,0.0,606,Matthew,Pollock,Matthew Pollock,DEF,Watford,4.0
489,Pierre Lees-Melou,1.8700246810913100,501,Pierre,Lees-Melou,Pierre Lees-Melou,MID,Norwich,4.8
490,Ivan Toney,5.237215042114260,77,Ivan,Toney,Ivan Toney,FWD,Brentford,6.6
491,Mathias Jensen,1.2067369222641000,85,Mathias,Jensen,Mathias Jensen,MID,Brentford,4.9
492,Kristoffer Ajer,0.0,98,Kristoffer,Ajer,Kristoffer Ajer,DEF,Brentford,4.4
493,William Troost-Ekong,0.3165980577468870,586,William,Troost-Ekong,William Troost-Ekong,DEF,Watford,4.3
494,Kjell Scherpen,0.0,135,Kjell,Scherpen,Kjell Scherpen,GK,Brighton,4.5
495,Mbwana Ally Samatta,0.0,55,Mbwana Ally,Samatta,Mbwana Ally Samatta,FWD,Aston Villa,5.5
496,Saman Ghoddos,0.6981939077377320,84,Saman,Ghoddos,Saman Ghoddos,MID,Brentford,5.3
497,Francisco Sierralta,0.0,595,Francisco,Sierralta,Francisco Sierralta,DEF,Watford,4.3
498,Patrik Gunnarsson,0.0,93,Patrik,Gunnarsson,Patrik Gunnarsson,GK,Brentford,3.9
499,David Raya Martin,0.0,79,David,Raya Martin,David Raya Martin,GK,Brentford,4.3
500,Kristoffer Klaesson,0.06140608340501790,333,Kristoffer,Klaesson,Kristoffer Klaesson,GK,Leeds,4.4
501,Pierluigi Gollini,0.0,566,Pierluigi,Gollini,Pierluigi Gollini,GK,Spurs,4.3
502,Yerson Mosquera Valdelamar,0.0,673,Yerson,Mosquera Valdelamar,Yerson Mosquera Valdelamar,DEF,Wolves,4.4
503,Romain Perraud,5.955597877502440,530,Romain,Perraud,Romain Perraud,DEF,Southampton,4.8
504,Jan Zamburek,0.0,92,Jan,Zamburek,Jan Zamburek,MID,Brentford,4.4
505,Bernardo Fernandes Da Silva Junior,0.0,125,Bernardo,Fernandes Da Silva Junior,Bernardo Fernandes Da Silva Junior,DEF,Brighton,4.0
506,Mads Roerslev Rasmussen,0.0,88,Mads,Roerslev Rasmussen,Mads Roerslev Rasmussen,DEF,Brentford,4.3
507,Leon Bailey,0.1898573487997060,62,Leon,Bailey,Leon Bailey,MID,Aston Villa,6.3
508,Michael Olise,0.0,229,Michael,Olise,Michael Olise,MID,Crystal Palace,5.4
509,Bryan Gil Salvatierra,0.00031698448583483700,567,Bryan,Gil Salvatierra,Bryan Gil Salvatierra,MID,Spurs,5.7
510,Chem Campbell,0.2976981997489930,680,Chem,Campbell,Chem Campbell,MID,Wolves,4.5
511,Andrew Omobamidele,5.341187477111820,496,Andrew,Omobamidele,Andrew Omobamidele,DEF,Norwich,3.9
512,Samuel Edozie,0.0,406,Samuel,Edozie,Samuel Edozie,MID,Man City,4.8
513,Christos Tzolis,0.0,504,Christos,Tzolis,Christos Tzolis,MID,Norwich,4.8
514,Thiago Emiliano da Silva,0.5695022344589230,179,Thiago,Emiliano da Silva,Thiago Emiliano da Silva,DEF,Chelsea,5.6
515,Halil Dervişoğlu,0.0,94,Halil,Dervişoğlu,Halil Dervişoğlu,FWD,Brentford,5.4
516,Jadon Sancho,1.7156574726104700,437,Jadon,Sancho,Jadon Sancho,MID,Man Utd,8.9
517,Ozan Tufan,0.445772260427475,612,Ozan,Tufan,Ozan Tufan,MID,Watford,5.0
518,Owen Dodgson,0.0,173,Owen,Dodgson,Owen Dodgson,DEF,Burnley,3.9
519,Remi Matthews,0.0,238,Remi,Matthews,Remi Matthews,GK,Crystal Palace,4.0
