,Name,Team,team_short_name,first_name,second_name,now_cost,element_type,pred_points
314,Ayoze Perez,Leicester,LEI,Ayoze,Perez,57,MID,1.843313217163086
315,James Maddison,Leicester,LEI,James,Maddison,69,MID,0.0
316,Kelechi Iheanacho,Leicester,LEI,Kelechi,Iheanacho,70,FWD,6.720248222351074
317,Hamza Choudhury,Leicester,LEI,Hamza,Choudhury,44,MID,2.5094761848449707
318,Harvey Barnes,Leicester,LEI,Harvey,Barnes,65,MID,0.5267018675804138
319,Wilfred Ndidi,Leicester,LEI,Wilfred,Ndidi,48,MID,2.418649911880493
320,Caglar Soyuncu,Leicester,LEI,Caglar,Soyuncu,49,DEF,1.6828211545944214
321,James Justin,Leicester,LEI,James,Justin,49,DEF,0.0
322,Luke Thomas,Leicester,LEI,Luke,Thomas,43,DEF,0.2659169137477875
323,Wesley Fofana,Leicester,LEI,Wesley,Fofana,43,DEF,5.759575843811035
324,Jannik Vestergaard,Leicester,LEI,Jannik,Vestergaard,47,DEF,0.4138772487640381
325,Patson Daka,Leicester,LEI,Patson,Daka,70,FWD,0.0
326,Boubakary Soumare,Leicester,LEI,Boubakary,Soumare,48,MID,1.7297754287719729
327,Ryan Bertrand,Leicester,LEI,Ryan,Bertrand,46,DEF,1.0681250095367432
328,Kiernan Dewsbury-Hall,Leicester,LEI,Kiernan,Dewsbury-Hall,44,MID,0.0
329,Eldin Jakupovic,Leicester,LEI,Eldin,Jakupovic,39,GK,0.1008782982826232
330,Ademola Lookman,Leicester,LEI,Ademola,Lookman,59,MID,0.6977246403694153
331,Vontae Daley-Campbell,Leicester,LEI,Vontae,Daley-Campbell,40,DEF,0.0
332,Ben Nelson,Leicester,LEI,Ben,Nelson,40,DEF,0.0
333,Lewis Brunt,Leicester,LEI,Lewis,Brunt,45,MID,0.1389005929231643
334,Kasey McAteer,Leicester,LEI,Kasey,McAteer,45,MID,0.0
335,Pablo Hernandez Dominguez,Leeds,LEE,Pablo,Hernandez Dominguez,55,MID,0.2070587277412414
336,Francisco Casilla Cortes,Leeds,LEE,Francisco,Casilla Cortes,45,GK,0.0016248248284682
337,Liam Cooper,Leeds,LEE,Liam,Cooper,44,DEF,2.285295248031616
338,Luke Ayling,Leeds,LEE,Luke,Ayling,43,DEF,0.0
339,Mateusz Klich,Leeds,LEE,Mateusz,Klich,51,MID,0.5034641027450562
340,Rodrigo Moreno,Leeds,LEE,Rodrigo,Moreno,63,FWD,0.0
341,Stuart Dallas,Leeds,LEE,Stuart,Dallas,49,MID,1.480933427810669
342,Patrick Bamford,Leeds,LEE,Patrick,Bamford,77,FWD,6.272815704345703
343,Diego Llorente,Leeds,LEE,Diego,Llorente,45,DEF,7.176677703857422
344,Kalvin Phillips,Leeds,LEE,Kalvin,Phillips,47,MID,3.052708864212036
345,Helder Wander Sousa de Azevedo e Costa,Leeds,LEE,Helder Wander,Sousa de Azevedo e Costa,54,MID,4.707152366638184
346,Tyler Roberts,Leeds,LEE,Tyler,Roberts,48,MID,0.8933126330375671
347,Robin Koch,Leeds,LEE,Robin,Koch,43,DEF,0.0
348,Ian Carlo Poveda-Ocampo,Leeds,LEE,Ian Carlo,Poveda-Ocampo,45,MID,0.0861646756529808
349,Raphael Dias Belloli,Leeds,LEE,Raphael,Dias Belloli,63,MID,2.120423555374145
350,Jamie Shackleton,Leeds,LEE,Jamie,Shackleton,44,MID,0.3526752889156341
351,Pascal Struijk,Leeds,LEE,Pascal,Struijk,43,DEF,0.0
352,Illan Meslier,Leeds,LEE,Illan,Meslier,48,GK,3.62103009223938
353,Jack Harrison,Leeds,LEE,Jack,Harrison,55,MID,0.0
354,Daniel James,Leeds,LEE,Daniel,James,60,MID,0.0
355,Hector Junior Firpo Adames,Leeds,LEE,Hector Junior,Firpo Adames,47,DEF,0.0
356,Kristoffer Klaesson,Leeds,LEE,Kristoffer,Klaesson,43,GK,0.0614060834050178
357,Sam Greenwood,Leeds,LEE,Sam,Greenwood,46,FWD,0.0
358,Crysencio Summerville,Leeds,LEE,Crysencio,Summerville,45,MID,0.0234313905239105
359,Adam Forshaw,Leeds,LEE,Adam,Forshaw,45,MID,1.1388635635375977
360,Cody Drameh,Leeds,LEE,Cody,Drameh,39,DEF,0.0
361,Charlie Cresswell,Leeds,LEE,Charlie,Cresswell,40,DEF,9.549564765620744e-07
362,Liam McCarron,Leeds,LEE,Liam,McCarron,44,MID,0.0055868625640869
363,Joe Gelhardt,Leeds,LEE,Joe,Gelhardt,47,FWD,1.295804142951965
364,Nohan Kenneh,Leeds,LEE,Nohan,Kenneh,44,MID,0.0
365,Stuart McKinstry,Leeds,LEE,Stuart,McKinstry,43,MID,0.1792330294847488
366,Leo Fuhr Hjelde,Leeds,LEE,Leo Fuhr,Hjelde,40,DEF,0.0
367,Lewis Bate,Leeds,LEE,Lewis,Bate,45,MID,0.0166560858488082
368,Jack Jenkins,Leeds,LEE,Jack,Jenkins,45,MID,0.0
369,Kris Moore,Leeds,LEE,Kris,Moore,40,DEF,0.0
370,Archie Gray,Leeds,LEE,Archie,Gray,45,MID,0.0
371,James Milner,Liverpool,LIV,James,Milner,49,MID,1.5475685596466064
372,Jordan Henderson,Liverpool,LIV,Jordan,Henderson,49,MID,1.3456026315689087
373,Adrian San Miguel del Castillo,Liverpool,LIV,Adrian,San Miguel del Castillo,43,GK,0.4985966384410858
374,Joel Matip,Liverpool,LIV,Joel,Matip,52,DEF,7.231539249420166
375,Thiago Alcantara do Nascimento,Liverpool,LIV,Thiago,Alcantara do Nascimento,53,MID,1.6950501203536987
376,Xherdan Shaqiri,Liverpool,LIV,Xherdan,Shaqiri,59,MID,0.0
377,Alex Oxlade-Chamberlain,Liverpool,LIV,Alex,Oxlade-Chamberlain,58,MID,0.9062291383743286
378,Roberto Firmino,Liverpool,LIV,Roberto,Firmino,87,FWD,4.388920783996582
379,Virgil van Dijk,Liverpool,LIV,Virgil,van Dijk,68,DEF,5.930317401885986
380,Sadio Mane,Liverpool,LIV,Sadio,Mane,118,MID,6.6443047523498535
381,Alisson Ramses Becker,Liverpool,LIV,Alisson,Ramses Becker,61,GK,2.2607972621917725
382,Fabio Henrique Tavares,Liverpool,LIV,Fabio Henrique,Tavares,54,MID,1.7471405267715454
383,Mohamed Salah,Liverpool,LIV,Mohamed,Salah,133,MID,6.004116058349609
384,Andrew Robertson,Liverpool,LIV,Andrew,Robertson,73,DEF,4.739302158355713
385,Divock Origi,Liverpool,LIV,Divock,Origi,48,FWD,1.407150149345398
386,Takumi Minamino,Liverpool,LIV,Takumi,Minamino,51,MID,0.0
387,Trent Alexander-Arnold,Liverpool,LIV,Trent,Alexander-Arnold,84,DEF,0.2963559329509735
388,Joseph Gomez,Liverpool,LIV,Joseph,Gomez,47,DEF,4.957030773162842
389,Naby Keita,Liverpool,LIV,Naby,Keita,50,MID,7.247385501861572
390,Diogo Jota,Liverpool,LIV,Diogo,Jota,83,MID,1.351108431816101
391,Nathaniel Phillips,Liverpool,LIV,Nathaniel,Phillips,42,DEF,0.550035297870636
392,Caoimhin Kelleher,Liverpool,LIV,Caoimhin,Kelleher,43,GK,0.0527262836694717
393,Ibrahima Konate,Liverpool,LIV,Ibrahima,Konate,51,DEF,0.6391015648841858
394,Curtis Jones,Liverpool,LIV,Curtis,Jones,50,MID,0.536616861820221
395,Konstantinos Tsimikas,Liverpool,LIV,Konstantinos,Tsimikas,37,DEF,1.330417513847351
396,Neco Williams,Liverpool,LIV,Neco,Williams,38,DEF,2.6378214359283447
397,Rhys Williams,Liverpool,LIV,Rhys,Williams,44,DEF,0.9877132773399352
398,Ben Davies,Liverpool,LIV,Ben,Davies,40,DEF,1.2160029411315918
399,Ben Davies,Liverpool,LIV,Ben,Davies,45,DEF,1.2160029411315918
400,Ben Davies,Spurs,TOT,Ben,Davies,40,DEF,1.2160029411315918
401,Ben Davies,Spurs,TOT,Ben,Davies,45,DEF,1.2160029411315918
402,Harvey Elliott,Liverpool,LIV,Harvey,Elliott,53,MID,0.0
403,Ben Woodburn,Liverpool,LIV,Ben,Woodburn,45,MID,0.0
404,Tyler Morton,Liverpool,LIV,Tyler,Morton,45,MID,0.0498050339519977
405,Kaide Gordon,Liverpool,LIV,Kaide,Gordon,45,MID,0.0237584635615348
406,Conor Bradley,Liverpool,LIV,Conor,Bradley,40,DEF,0.0
407,Owen Beck,Liverpool,LIV,Owen,Beck,40,DEF,0.0
408,Marcelo de Araujo Pitaluga Filho,Liverpool,LIV,Marcelo,de Araujo Pitaluga Filho,40,GK,0.0
409,Jarell Quansah,Liverpool,LIV,Jarell,Quansah,40,DEF,0.0
410,Luis Diaz,Liverpool,LIV,Luis,Diaz,80,MID,0.0
411,Jack Grealish,Man City,MCI,Jack,Grealish,75,MID,1.361202359199524
412,Kyle Walker,Man City,MCI,Kyle,Walker,54,DEF,2.381810426712036
413,Ilkay Gundogan,Man City,MCI,Ilkay,Gundogan,71,MID,0.0
414,Kevin De Bruyne,Man City,MCI,Kevin,De Bruyne,120,MID,21.897140502929688
415,John Stones,Man City,MCI,John,Stones,52,DEF,1.668544888496399
416,Benjamin Mendy,Man City,MCI,Benjamin,Mendy,52,DEF,0.0
417,Riyad Mahrez,Man City,MCI,Riyad,Mahrez,86,MID,7.406706809997559
418,Raheem Sterling,Man City,MCI,Raheem,Sterling,105,MID,7.568173885345459
419,Joao Pedro Cavaco Cancelo,Man City,MCI,Joao Pedro Cavaco,Cancelo,72,DEF,0.0
420,Ederson Santana de Moraes,Man City,MCI,Ederson,Santana de Moraes,62,GK,2.9358561038970947
421,Nathan Ake,Man City,MCI,Nathan,Ake,47,DEF,1.3490538597106934
422,Aymeric Laporte,Man City,MCI,Aymeric,Laporte,60,DEF,0.0
423,Zack Steffen,Man City,MCI,Zack,Steffen,44,GK,0.0082192290574312
424,Bernardo Mota Veiga de Carvalho e Silva,Man City,MCI,Bernardo Mota,Veiga de Carvalho e Silva,70,MID,5.560871124267578
425,Ruben Santos Gato Alves Dias,Man City,MCI,Ruben Santos,Gato Alves Dias,62,DEF,1.2916961908340454
426,Gabriel Fernando de Jesus,Man City,MCI,Gabriel Fernando,de Jesus,86,FWD,19.364809036254883
427,Oleksandr Zinchenko,Man City,MCI,Oleksandr,Zinchenko,53,DEF,0.0
428,Phil Foden,Man City,MCI,Phil,Foden,79,MID,1.9025897979736328
429,Rodrigo Hernandez,Man City,MCI,Rodrigo,Hernandez,55,MID,1.1600254774093628
430,Ferran Torres,Man City,MCI,Ferran,Torres,67,MID,0.9421461820602416
431,Fernando Luiz Rosa,Man City,MCI,Fernando,Luiz Rosa,47,MID,1.3341822624206543
432,Cole Palmer,Man City,MCI,Cole,Palmer,45,MID,0.2232614904642105
433,Samuel Edozie,Man City,MCI,Samuel,Edozie,47,MID,0.0
434,Tommy Doyle,Man City,MCI,Tommy,Doyle,45,MID,0.008008268661797
435,Scott Carson,Man City,MCI,Scott,Carson,39,GK,0.040271483361721
436,Luke Mbete,Man City,MCI,Luke,Mbete,39,DEF,0.0
437,Joshua Wilson-Esbrand,Man City,MCI,Joshua,Wilson-Esbrand,39,DEF,0.0
438,Romeo Lavia,Man City,MCI,Romeo,Lavia,44,MID,0.0
439,Cieran Slicker,Man City,MCI,Cieran,Slicker,40,GK,0.0
440,James McAtee,Man City,MCI,James,McAtee,44,MID,0.0
441,Conrad Egan-Riley,Man City,MCI,Conrad,Egan-Riley,40,DEF,0.0
442,Kayky da Silva Chagas,Man City,MCI,Kayky da Silva,Chagas,50,FWD,0.0
443,Liam Delap,Man City,MCI,Liam,Delap,45,FWD,0.0
444,Edinson Cavani,Man Utd,MUN,Edinson,Cavani,84,FWD,1.8324387073516848
445,David de Gea,Man Utd,MUN,David,de Gea,50,GK,4.113921642303467
446,Nemanja Matic,Man Utd,MUN,Nemanja,Matic,43,MID,0.0
447,Paul Pogba,Man Utd,MUN,Paul,Pogba,74,MID,2.139147996902466
448,Harry Maguire,Man Utd,MUN,Harry,Maguire,54,DEF,1.6797150373458862
449,Frederico Rodrigues de Paula Santos,Man Utd,MUN,Frederico,Rodrigues de Paula Santos,49,MID,3.652754783630371
450,Luke Shaw,Man Utd,MUN,Luke,Shaw,50,DEF,2.1439247131347656
451,Jesse Lingard,Man Utd,MUN,Jesse,Lingard,67,MID,3.1081504821777344
452,Bruno Miguel Borges Fernandes,Man Utd,MUN,Bruno Miguel,Borges Fernandes,116,MID,12.00730037689209
453,Anthony Martial,Man Utd,MUN,Anthony,Martial,76,FWD,3.215264320373535
454,Alex Nicolao Telles,Man Utd,MUN,Alex Nicolao,Telles,50,DEF,2.324631690979004
455,Dean Henderson,Man Utd,MUN,Dean,Henderson,47,GK,4.41630744934082
456,Marcus Rashford,Man Utd,MUN,Marcus,Rashford,94,MID,2.4830172061920166
457,Axel Tuanzebe,Man Utd,MUN,Axel,Tuanzebe,44,DEF,0.3108992874622345
458,Victor Lindelof,Man Utd,MUN,Victor,Lindelof,48,DEF,1.4215295314788818
459,Scott McTominay,Man Utd,MUN,Scott,McTominay,54,MID,2.9958291053771973
460,Eric Bailly,Man Utd,MUN,Eric,Bailly,49,DEF,1.4673638343811035
461,Aaron Wan-Bissaka,Man Utd,MUN,Aaron,Wan-Bissaka,51,DEF,0.0
462,Mason Greenwood,Man Utd,MUN,Mason,Greenwood,71,MID,2.2922379970550537
463,Juan Mata,Man Utd,MUN,Juan,Mata,47,MID,1.5210744142532349
464,Jadon Sancho,Man Utd,MUN,Jadon,Sancho,89,MID,1.7156574726104736
465,Tom Heaton,Man Utd,MUN,Tom,Heaton,39,GK,1.8934167623519893
466,Jose Diogo Dalot Teixeira,Man Utd,MUN,Jose Diogo,Dalot Teixeira,42,DEF,4.212766170501709
467,Andreas Pereira,Man Utd,MUN,Andreas,Pereira,50,MID,0.0
468,Anthony Elanga,Man Utd,MUN,Anthony,Elanga,48,MID,0.5221990346908569
469,Raphael Varane,Man Utd,MUN,Raphael,Varane,55,DEF,2.223872423171997
470,Cristiano Ronaldo dos Santos Aveiro,Man Utd,MUN,Cristiano Ronaldo,dos Santos Aveiro,122,FWD,8.005541801452637
471,Phil Jones,Man Utd,MUN,Phil,Jones,45,DEF,1.20814049243927
472,Amad Diallo,Man Utd,MUN,Amad,Diallo,50,MID,0.0
473,Hannibal Mejbri,Man Utd,MUN,Hannibal,Mejbri,45,MID,0.0
474,Alejandro Garnacho Ferreyra,Man Utd,MUN,Alejandro,Garnacho Ferreyra,45,MID,0.0
475,Shola Shoretire,Man Utd,MUN,Shola,Shoretire,45,MID,0.0
476,Joseph Willock,Newcastle,NEW,Joseph,Willock,54,MID,4.3592848777771
477,Matt Targett,Newcastle,NEW,Matt,Targett,47,DEF,0.444433718919754
478,Dan Burn,Newcastle,NEW,Dan,Burn,44,DEF,0.0
479,Chris Wood,Newcastle,NEW,Chris,Wood,64,FWD,0.0
480,Jonjo Shelvey,Newcastle,NEW,Jonjo,Shelvey,53,MID,1.7694988250732422
481,Matt Ritchie,Newcastle,NEW,Matt,Ritchie,49,DEF,2.724152088165283
482,Ciaran Clark,Newcastle,NEW,Ciaran,Clark,44,DEF,1.4403971433639526
483,Karl Darlow,Newcastle,NEW,Karl,Darlow,45,GK,0.4662392735481262
484,Martin Dubravka,Newcastle,NEW,Martin,Dubravka,44,GK,2.5579304695129395
485,Callum Wilson,Newcastle,NEW,Callum,Wilson,71,FWD,0.0
486,Jeff Hendrick,Newcastle,NEW,Jeff,Hendrick,48,MID,3.6201562881469727
487,Ryan Fraser,Newcastle,NEW,Ryan,Fraser,51,MID,3.3951849937438965
488,Jamaal Lascelles,Newcastle,NEW,Jamaal,Lascelles,44,DEF,0.8838353157043457
489,Dwight Gayle,Newcastle,NEW,Dwight,Gayle,52,FWD,1.2638903856277466
490,Paul Dummett,Newcastle,NEW,Paul,Dummett,45,DEF,1.3208364248275757
491,Javier Manquillo,Newcastle,NEW,Javier,Manquillo,39,DEF,1.664968490600586
492,Emil Krafth,Newcastle,NEW,Emil,Krafth,43,DEF,0.2945314347743988
493,Jacob Murphy,Newcastle,NEW,Jacob,Murphy,46,MID,0.942952573299408
494,Fabian Schar,Newcastle,NEW,Fabian,Schar,42,DEF,1.3834083080291748
495,Isaac Hayden,Newcastle,NEW,Isaac,Hayden,45,MID,1.1180357933044434
496,Allan Saint-Maximin,Newcastle,NEW,Allan,Saint-Maximin,67,FWD,1.8389402627944944
497,Miguel Almiron,Newcastle,NEW,Miguel,Almiron,50,MID,1.761804699897766
498,Sean Longstaff,Newcastle,NEW,Sean,Longstaff,43,MID,0.0
499,Joelinton Cassio Apolinario de Lira,Newcastle,NEW,Joelinton Cassio,Apolinario de Lira,58,FWD,4.056475639343262
500,Jamal Lewis,Newcastle,NEW,Jamal,Lewis,42,DEF,0.2076718360185623
501,Matthew Longstaff,Newcastle,NEW,Matthew,Longstaff,45,MID,0.0574119091033935
502,Federico Fernandez,Newcastle,NEW,Federico,Fernandez,43,DEF,0.1473574042320251
503,Freddie Woodman,Newcastle,NEW,Freddie,Woodman,43,GK,0.0
504,Mark Gillespie,Newcastle,NEW,Mark,Gillespie,39,GK,0.0
505,Joe White,Newcastle,NEW,Joe,White,44,MID,0.0
506,Elliot Anderson,Newcastle,NEW,Elliot,Anderson,45,MID,0.0050948560237884
507,Kieran Trippier,Newcastle,NEW,Kieran,Trippier,49,DEF,0.0212887860834598
508,Bruno Guimaraes Rodriguez Moura,Newcastle,NEW,Bruno,Guimaraes Rodriguez Moura,50,MID,0.0
509,Lucas De Bolle,Newcastle,NEW,Lucas,De Bolle,44,MID,0.0
510,Billy Gilmour,Norwich,NOR,Billy,Gilmour,43,MID,0.9794188737869264
511,Brandon Williams,Norwich,NOR,Brandon,Williams,39,DEF,0.5774683356285095
512,Michael McGovern,Norwich,NOR,Michael,McGovern,39,GK,0.5376913547515869
513,Tim Krul,Norwich,NOR,Tim,Krul,45,GK,0.0
514,Teemu Pukki,Norwich,NOR,Teemu,Pukki,61,FWD,3.182441473007202
515,Marco Stiepermann,Norwich,NOR,Marco,Stiepermann,50,MID,0.0
516,Lukas Rupp,Norwich,NOR,Lukas,Rupp,44,MID,0.1882626414299011
517,Kenny McLean,Norwich,NOR,Kenny,McLean,49,MID,0.0
518,Grant Hanley,Norwich,NOR,Grant,Hanley,44,DEF,0.0
519,Onel Hernandez,Norwich,NOR,Onel,Hernandez,49,MID,0.0656018331646919
520,Sam Byram,Norwich,NOR,Sam,Byram,44,DEF,0.1626704931259155
521,Jordan Hugill,Norwich,NOR,Jordan,Hugill,54,FWD,0.0
522,Kieran Dowell,Norwich,NOR,Kieran,Dowell,51,MID,5.410367965698242
523,Christoph Zimmermann,Norwich,NOR,Christoph,Zimmermann,44,DEF,0.0
524,Todd Cantwell,Norwich,NOR,Todd,Cantwell,53,MID,0.5668743252754211
525,Max Aarons,Norwich,NOR,Max,Aarons,43,DEF,0.0
526,Jacob Sorensen,Norwich,NOR,Jacob,Sorensen,43,DEF,0.2177929282188415
527,Przemyslaw Placheta,Norwich,NOR,Przemyslaw,Placheta,47,MID,0.0
528,Adam Idah,Norwich,NOR,Adam,Idah,48,FWD,0.0
529,Josh Martin,Norwich,NOR,Josh,Martin,50,MID,0.0166377089917659
530,Andrew Omobamidele,Norwich,NOR,Andrew,Omobamidele,39,DEF,5.341187477111816
531,Angus Gunn,Norwich,NOR,Angus,Gunn,40,GK,2.243439197540283
532,Milot Rashica,Norwich,NOR,Milot,Rashica,52,MID,0.7231860756874084
533,Ben Gibson,Norwich,NOR,Ben,Gibson,44,DEF,0.0
534,Dimitris Giannoulis,Norwich,NOR,Dimitris,Giannoulis,44,DEF,1.127901554107666
535,Pierre Lees-Melou,Norwich,NOR,Pierre,Lees-Melou,48,MID,1.8700246810913088
536,Bali Mumba,Norwich,NOR,Bali,Mumba,39,DEF,0.0
537,Joshua Sargent,Norwich,NOR,Joshua,Sargent,54,FWD,1.5419787168502808
538,Christos Tzolis,Norwich,NOR,Christos,Tzolis,48,MID,0.0
539,Ozan Kabak,Norwich,NOR,Ozan,Kabak,43,DEF,0.0
540,Mathias Normann,Norwich,NOR,Mathias,Normann,45,MID,1.0975502729415894
541,Jonathan Tomkinson,Norwich,NOR,Jonathan,Tomkinson,40,DEF,0.0
542,Jonathan Rowe,Norwich,NOR,Jonathan,Rowe,44,MID,0.1519195735454559
543,Thomas Dickson-Peters,Norwich,NOR,Thomas,Dickson-Peters,45,FWD,0.0
544,Jon McCracken,Norwich,NOR,Jon,McCracken,40,GK,0.0
545,Liam Gibbs,Norwich,NOR,Liam,Gibbs,45,MID,0.0
546,Abu Kamara,Norwich,NOR,Abu,Kamara,45,FWD,0.0
547,Tony Springett,Norwich,NOR,Tony,Springett,45,MID,0.0
548,Theo Walcott,Southampton,SOU,Theo,Walcott,58,MID,1.81288492679596
549,Fraser Forster,Southampton,SOU,Fraser,Forster,44,GK,0.9321800470352172
550,Alex McCarthy,Southampton,SOU,Alex,McCarthy,43,GK,0.0
551,Oriol Romeu Vidal,Southampton,SOU,Oriol,Romeu Vidal,45,MID,1.0191974639892578
552,Nathan Redmond,Southampton,SOU,Nathan,Redmond,59,MID,2.166571855545044
553,Jack Stephens,Southampton,SOU,Jack,Stephens,44,DEF,1.561152458190918
554,Stuart Armstrong,Southampton,SOU,Stuart,Armstrong,58,MID,2.513279438018799
555,James Ward-Prowse,Southampton,SOU,James,Ward-Prowse,65,MID,5.302883148193359
556,Kyle Walker-Peters,Southampton,SOU,Kyle,Walker-Peters,48,DEF,1.4356682300567627
557,Jan Bednarek,Southampton,SOU,Jan,Bednarek,44,DEF,0.0
558,Daniel N'Lundulu,Southampton,SOU,Daniel,N'Lundulu,45,FWD,0.006678381934762
559,Che Adams,Southampton,SOU,Che,Adams,65,FWD,0.3284665048122406
560,Nathan Tella,Southampton,SOU,Nathan,Tella,47,MID,0.0293008014559745
561,William Smallbone,Southampton,SOU,William,Smallbone,45,MID,0.4741086065769195
562,Michael Obafemi,Southampton,SOU,Michael,Obafemi,45,FWD,0.6500231623649597
563,Ibrahima Diallo,Southampton,SOU,Ibrahima,Diallo,45,MID,0.0
564,Moussa Djenepo,Southampton,SOU,Moussa,Djenepo,52,MID,0.0
565,Mohammed Salisu,Southampton,SOU,Mohammed,Salisu,45,DEF,0.0
566,Romain Perraud,Southampton,SOU,Romain,Perraud,48,DEF,5.955597877502441
567,Tino Livramento,Southampton,SOU,Tino,Livramento,42,DEF,1.1390324831008911
568,Mohamed Elyounoussi,Southampton,SOU,Mohamed,Elyounoussi,54,MID,1.788362979888916
569,Armando Broja,Southampton,SOU,Armando,Broja,54,FWD,1.645195245742798
570,Shane Long,Southampton,SOU,Shane,Long,54,FWD,0.4130730628967285
571,Adam Armstrong,Southampton,SOU,Adam,Armstrong,57,FWD,0.918121874332428
572,Yan Valery,Southampton,SOU,Yan,Valery,39,DEF,2.8250887393951416
573,Lyanco Evangelista Silveira Neves Vojnovic,Southampton,SOU,Lyanco Evangelista,Silveira Neves Vojnovic,44,DEF,0.0
574,Harry Lewis,Southampton,SOU,Harry,Lewis,39,GK,0.0
575,Willy Caballero,Southampton,SOU,Willy,Caballero,42,GK,0.1881172358989715
576,Dynel Simeu,Southampton,SOU,Dynel,Simeu,40,DEF,0.0
577,Thierry Small,Southampton,SOU,Thierry,Small,40,DEF,0.0
578,Kgaogelo Chauke,Southampton,SOU,Kgaogelo,Chauke,45,MID,0.0
579,Tyler Dibling,Southampton,SOU,Tyler,Dibling,45,MID,0.0
580,Joe Hart,Spurs,TOT,Joe,Hart,45,GK,0.6646981239318848
581,Hugo Lloris,Spurs,TOT,Hugo,Lloris,54,GK,2.162576198577881
582,Toby Alderweireld,Spurs,TOT,Toby,Alderweireld,50,DEF,7.6118621826171875
583,Erik Lamela,Spurs,TOT,Erik,Lamela,60,MID,1.134027361869812
584,Harry Kane,Spurs,TOT,Harry,Kane,124,FWD,3.995924472808838
585,Serge Aurier,Spurs,TOT,Serge,Aurier,49,DEF,0.0
586,Heung-Min Son,Spurs,TOT,Heung-Min,Son,110,MID,0.0
587,Matt Doherty,Spurs,TOT,Matt,Doherty,45,DEF,0.0
588,Eric Dier,Spurs,TOT,Eric,Dier,47,DEF,1.5254976749420166
589,Lucas Rodrigues Moura da Silva,Spurs,TOT,Lucas,Rodrigues Moura da Silva,59,MID,2.0132641792297363
590,Pierre-Emile Hojbjerg,Spurs,TOT,Pierre-Emile,Hojbjerg,48,MID,1.4954208135604858
591,Harry Winks,Spurs,TOT,Harry,Winks,44,MID,0.4643836915493011
592,Davinson Sanchez,Spurs,TOT,Davinson,Sanchez,42,DEF,5.897251605987549
593,Ryan Sessegnon,Spurs,TOT,Ryan,Sessegnon,43,DEF,1.9691706895828247
594,Steven Bergwijn,Spurs,TOT,Steven,Bergwijn,59,MID,0.5844157934188843
595,Sergio Reguilon,Spurs,TOT,Sergio,Reguilon,50,DEF,1.145492434501648
596,Japhet Tanganga,Spurs,TOT,Japhet,Tanganga,42,DEF,1.2006880044937134
597,Giovani Lo Celso,Spurs,TOT,Giovani,Lo Celso,59,MID,3.282136917114258
598,Oliver Skipp,Spurs,TOT,Oliver,Skipp,44,MID,0.9499952793121338
599,Joe Rodon,Spurs,TOT,Joe,Rodon,42,DEF,0.0046192109584808
600,Tanguy Ndombele,Spurs,TOT,Tanguy,Ndombele,57,MID,1.1058837175369265
601,Pierluigi Gollini,Spurs,TOT,Pierluigi,Gollini,42,GK,0.0
602,Bryan Gil Salvatierra,Spurs,TOT,Bryan,Gil Salvatierra,57,MID,0.0003169844858348
603,Cristian Romero,Spurs,TOT,Cristian,Romero,48,DEF,1.03560209274292
604,Dane Scarlett,Spurs,TOT,Dane,Scarlett,45,FWD,0.0
605,Emerson Aparecido Leite de Souza Junior,Spurs,TOT,Emerson Aparecido,Leite de Souza Junior,45,DEF,1.0082913637161257
606,Dilan Markanday,Spurs,TOT,Dilan,Markanday,45,MID,0.0
607,Tobi Omole,Spurs,TOT,Tobi,Omole,39,DEF,0.0
608,Brandon Austin,Spurs,TOT,Brandon,Austin,40,GK,0.0
609,Harvey White,Spurs,TOT,Harvey,White,44,MID,0.0
610,Dejan Kulusevski,Spurs,TOT,Dejan,Kulusevski,63,MID,0.0
611,Rodrigo Bentancur,Spurs,TOT,Rodrigo,Bentancur,49,MID,0.0
612,Alfie Devine,Spurs,TOT,Alfie,Devine,45,MID,0.0
613,Jamie Bowden,Spurs,TOT,Jamie,Bowden,45,MID,0.0
614,Marcel Lavinier,Spurs,TOT,Marcel,Lavinier,40,DEF,0.0
615,Matthew Craig,Spurs,TOT,Matthew,Craig,45,MID,0.0
616,Moussa Sissoko,Watford,WAT,Moussa,Sissoko,44,MID,1.2054173946380615
617,Ben Foster,Watford,WAT,Ben,Foster,42,GK,3.833723545074463
618,Danny Rose,Watford,WAT,Danny,Rose,42,DEF,1.604285478591919
619,Dan Gosling,Watford,WAT,Dan,Gosling,47,MID,1.6450839042663574
620,Craig Cathcart,Watford,WAT,Craig,Cathcart,42,DEF,0.4738973975181579
621,Troy Deeney,Watford,WAT,Troy,Deeney,54,FWD,1.9703575372695925
622,Tom Cleverley,Watford,WAT,Tom,Cleverley,48,MID,0.6261199712753296
623,Francisco Femenia Far,Watford,WAT,Francisco,Femenia Far,43,DEF,0.0
624,Andre Gray,Watford,WAT,Andre,Gray,54,FWD,8.354582786560059
625,Christian Kabasele,Watford,WAT,Christian,Kabasele,43,DEF,0.0
626,Nathaniel Chalobah,Watford,WAT,Nathaniel,Chalobah,50,MID,0.0
627,William Troost-Ekong,Watford,WAT,William,Troost-Ekong,43,DEF,0.3165980577468872
628,Stipe Perica,Watford,WAT,Stipe,Perica,45,FWD,0.0
629,Daniel Bachmann,Watford,WAT,Daniel,Bachmann,40,GK,0.2393774390220642
